,,,,,,,
,Car Model,Accessory,Description of Benefits and Features,Description of Design,Description of Safety Elements,Description of Warranty,Description of Possible Objections
,Car 1 ,Accessory 1 ,Text 1,Text 1,Text 1,Text 1,Text 1
,Car 1 ,Accessory 2,Text 2,Text 2,Text 2,Text 2,Text 2
,Car 1 ,Accessory 3,Text 3,Text 3,Text 3,Text 3,Text 3
,Car 1 ,Accessory 4,Text 4,Text 4,Text 4,Text 4,Text 4
,Car 1 ,Accessory 5,Text 5,Text 5,Text 5,Text 5,Text 5
,Car 1 ,Accessory 6,Text 6,Text 6,Text 6,Text 6,Text 6
,Car 2,Accessory 1 ,Text 1,Text 1,Text 1,Text 1,Text 1
,Car 2,Accessory 2,Text 2,Text 2,Text 2,Text 2,Text 2
,Car 2,Accessory 3,Text 3,Text 3,Text 3,Text 3,Text 3
,Car 2,Accessory 4,Text 4,Text 4,Text 4,Text 4,Text 4
,Car 2,Accessory 5,Text 5,Text 5,Text 5,Text 5,Text 5
,Car 2,Accessory 6,Text 6,Text 6,Text 6,Text 6,Text 6
